                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.62101,                 0.5284,                  1.001,                0.86447,                0.88889,                0.93578,                0.70491,                0.84757,                0.66524,                  1.105,              0.0005348,              0.0005348,              0.0005348
                     76,                0.63911,                0.52364,                 1.0132,                0.89746,                0.86442,                0.94486,                0.71021,                0.83155,                0.62316,                 1.0938,               0.000515,               0.000515,               0.000515
                     77,                0.64215,                 0.5367,                 1.0152,                0.93343,                0.86556,                 0.9506,                0.70461,                0.85946,                0.60857,                 1.1164,              0.0004952,              0.0004952,              0.0004952
                     78,                0.62526,                0.52189,                 1.0184,                0.92165,                0.83951,                0.92713,                0.70585,                0.84463,                0.66138,                 1.0979,              0.0004754,              0.0004754,              0.0004754
                     79,                0.61414,                 0.5081,                0.99749,                0.89796,                0.83951,                0.91907,                0.70945,                0.84868,                0.67531,                 1.0847,              0.0004556,              0.0004556,              0.0004556
                     80,                0.60539,                0.50152,                 1.0003,                0.92043,                 0.8642,                0.91846,                0.68083,                0.88275,                0.67231,                 1.1088,              0.0004358,              0.0004358,              0.0004358
                     81,                0.59761,                0.49371,                0.98902,                0.92043,                0.85686,                0.91757,                0.68577,                0.87954,                0.68658,                 1.1021,               0.000416,               0.000416,               0.000416
                     82,                0.58031,                 0.4913,                0.98143,                0.94511,                0.85038,                0.93294,                0.70514,                0.86517,                0.64391,                 1.0849,              0.0003962,              0.0003962,              0.0003962
                     83,                0.58766,                0.48142,                0.98515,                0.88961,                0.87654,                0.93466,                 0.7072,                0.81476,                0.62064,                 1.0744,              0.0003764,              0.0003764,              0.0003764
                     84,                0.58995,                0.48449,                 0.9807,                0.89895,                0.87862,                0.93739,                0.71088,                0.81192,                0.59567,                 1.0767,              0.0003566,              0.0003566,              0.0003566
                     85,                0.59332,                0.49194,                0.98535,                0.89919,                  0.881,                0.92716,                0.69245,                0.84744,                0.60974,                 1.1027,              0.0003368,              0.0003368,              0.0003368
                     86,                0.57821,                0.48174,                 0.9875,                0.89606,                 0.8642,                0.93564,                0.70885,                0.83752,                0.63827,                 1.1005,               0.000317,               0.000317,               0.000317
                     87,                0.58692,                0.49257,                0.98995,                0.92718,                 0.8642,                0.94579,                0.72943,                0.79176,                0.60868,                 1.0714,              0.0002972,              0.0002972,              0.0002972
                     88,                0.58424,                 0.4743,                0.97603,                0.90424,                0.88889,                0.93612,                0.72429,                 0.7896,                0.63656,                 1.0694,              0.0002774,              0.0002774,              0.0002774
                     89,                0.58033,                0.47796,                0.97791,                0.93388,                0.87185,                0.93466,                0.72039,                0.79543,                0.64019,                  1.074,              0.0002576,              0.0002576,              0.0002576
                     90,                0.58892,                 0.4804,                0.98508,                0.91934,                0.84435,                0.92928,                0.73311,                0.78968,                0.61279,                 1.0702,              0.0002378,              0.0002378,              0.0002378
                     91,                0.47675,                0.39341,                0.90329,                0.96359,                0.83951,                0.92412,                0.71531,                0.80658,                0.62797,                 1.0704,               0.000218,               0.000218,               0.000218
                     92,                0.44278,                0.35578,                0.88523,                0.94575,                0.86092,                 0.9302,                0.70561,                0.77815,                0.59805,                 1.0583,              0.0001982,              0.0001982,              0.0001982
                     93,                0.44579,                0.35069,                0.88945,                0.92152,                0.86982,                0.94015,                0.72265,                0.77468,                0.59149,                 1.0593,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.4514,                 0.3586,                0.89328,                0.91212,                 0.8642,                0.93684,                0.72246,                0.77703,                0.58932,                 1.0656,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44334,                0.35465,                0.88774,                0.87696,                0.87998,                0.93235,                0.71355,                0.77545,                0.58261,                 1.0646,              0.0001388,              0.0001388,              0.0001388
                     96,                0.43493,                0.35031,                 0.8874,                0.89192,                0.88889,                0.93496,                0.71637,                0.77754,                0.57534,                  1.067,               0.000119,               0.000119,               0.000119
                     97,                0.42197,                0.33331,                0.87926,                0.89231,                0.88889,                0.93575,                0.72585,                0.77476,                0.58099,                 1.0721,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.41353,                0.32482,                0.87986,                0.89158,                0.88889,                 0.9345,                0.72569,                0.76933,                0.58162,                 1.0721,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.42243,                0.33249,                0.88843,                0.89115,                0.88889,                 0.9391,                0.73097,                0.76738,                0.58327,                 1.0713,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.41579,                0.33119,                0.88121,                0.89521,                0.88889,                0.94252,                0.73464,                   0.77,                0.58478,                 1.0728,               3.98e-05,               3.98e-05,               3.98e-05
